obsC	timeC	obsI	timeI
0	1979	0	1979
0	1980	0	1980
0	1981	0	1981
0	1982	0	1982
0	1983	0	1983
0	1984	0	1984
0	1985	0	1985
0	1986	0	1986
0	1987	0	1987
0	1988	0	1988
20	1989	0	1989
494	1990	0	1990
334	1991	0	1991
219	1992	0	1992
264	1993	0	1993
536	1994	0	1994
84	1995	0	1995
241	1996	0	1996
98	1997	0.2895	1997
17	1998	0.2477	1998
19	1999	0.1685	1999
3	2000	0.2297	2000
298	2001	0.2961	2001
1713	2002	0.5177	2002
1299	2003	0.4678	2003
1619	2004	0.4787	2004
1638	2005	0.3416	2005
1077	2006	0.3356	2006
1865	2007	0.5614	2007
1985	2008	0.5194	2008
3500	2009	0.8467	2009
2940	2010	0.6209	2010
3062	2011	0.7711	2011
1859	2012	0.5964	2012
3128	2013	1.0105	2013
3145	2014	1.0722	2014
4363	2015	0.5236	2015
6241	2016	0.8975	2016
3562	2017	0.6277	2017
6241	2018	0.8975	2018
3562	2019	0.6277	2019



